Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Grupo,Raridade,Estagio,FF,Code,Linhagem
Donphan,103,61,61,30,30,22,22,25,48,22,10,10,3,1,3,959,347,563,701,terrestre,100,,,,,,,elefante,8,2,,357,119
Stantler,70,36,28,34,28,32,30,27,34,16,5,20,4,1,2,807,210,402,568,normal,100,,,,,,,veado,5,1,,358,120
Wyrdeer,80,42,30,42,30,32,34,27,36,16,6,40,3,2,2,938,248,468,652,normal,100,psiquico,100,,,,,veado,8,2,,359,120
Smeargle,45,17,22,17,26,40,40,13,25,15,5,5,4,2,2,655,212,351,449,normal,100,,,,,,,macaco,4,1,,360,121
Miltank,83,27,40,18,26,28,32,18,47,20,15,15,2,1,2,805,257,431,559,normal,100,,,,,,,vaca,5,1,,361,122
Raikou,96,41,36,60,46,60,36,36,42,30,25,10,5,1,2,1145,336,594,810,eletrico,100,terrestre,10,,,,,cachorro,-,1,,362,123
Entei,120,60,45,45,38,42,35,34,56,25,20,15,4,1,2,1135,352,616,830,fogo,100,terrestre,10,,,,,cachorro,-,1,,363,124
Suicune,100,41,60,47,60,35,45,36,46,25,15,15,4,1,2,1130,340,616,840,gelo,100,terrestre,10,,,,,cachorro,-,1,,364,125
Larvitar,50,26,24,21,24,20,12,18,24,14,10,15,3,1,1,589,150,288,394,pedra,100,terrestre,100,,,,,lagarto,4,1,,365,126
Pupitar,64,27,33,22,33,20,15,18,34,16,10,15,3,1,1,677,200,362,470,pedra,100,terrestre,100,,,,,casulo,7,2,,366,126
Tyranitar,123,76,54,46,48,27,25,26,54,20,15,15,3,1,2,1095,383,679,835,pedra,100,sombrio,100,terrestre,50,,,dinossauro,10,3,,367,126
Mega Tyranitar,123,93,65,52,54,27,25,28,60,22,15,15,3,1,2,1199,439,771,931,pedra,100,sombrio,100,terrestre,50,,,dinossauro,-,FF,,368,126
Lugia,137,32,50,37,90,44,36,30,65,20,10,15,4,1,2,1160,447,709,905,voador,100,psiquico,100,,,,,passaro,-,1,,369,127
HoOh,107,51,40,45,80,47,42,32,55,22,15,15,4,1,2,1169,377,663,891,voador,100,fogo,100,,,,,passaro,-,2,,370,128
Celebi,70,40,40,40,40,43,42,40,40,20,30,30,5,2,2,1110,250,490,720,psiquico,100,planta,100,,,,,espirito,-,1,,371,129
Treecko,39,20,15,22,21,27,18,21,18,16,15,10,3,1,1,572,140,261,365,planta,100,,,,,,,lagarto,3,1,,372,130
Grovyle,61,34,19,36,24,37,23,30,24,20,20,10,3,1,2,775,214,383,517,planta,100,,,,,,,lagarto,6,2,,373,130
Sceptile,79,44,28,50,32,58,31,45,38,28,24,15,3,2,2,1070,306,549,731,planta,100,,,,,,,dinossauro,9,3,,374,130
Mega Sceptile,79,52,32,62,35,64,32,67,40,32,24,18,3,2,2,1211,386,649,847,planta,100,dragao,100,,,,,dinossauro,-,FF,,375,130
Torchic,37,24,17,27,19,21,22,22,19,13,5,15,3,1,1,561,146,270,379,fogo,100,,,,,,,galinha,3,1,,376,131
Combusken,69,38,25,38,25,23,22,26,28,18,10,20,3,1,2,771,221,379,519,fogo,100,lutador,100,,,,,galinha,6,2,,377,131
Blaziken,87,63,34,63,34,39,28,28,45,20,10,25,3,2,2,1050,342,575,755,fogo,100,lutador,100,,,,,humanoide,9,3,,378,131
Mega Blaziken,87,78,41,68,41,46,28,34,46,25,12,35,3,2,2,1202,384,645,865,fogo,100,lutador,100,,,,,humanoide,-,FF,,379,131
Mudkip,43,26,21,21,21,19,16,16,24,12,10,15,3,1,1,564,143,269,371,agua,100,,,,,,,sapo,3,1,,380,132
Marshtomp,75,38,33,29,33,22,24,18,34,14,10,15,3,1,2,758,219,409,537,agua,100,terrestre,100,,,,,sapo,6,2,,381,132
Swampert,109,64,47,40,47,30,26,24,55,20,10,15,3,2,2,1040,347,615,775,agua,100,terrestre,100,,,,,sapo,9,3,,382,132
Mega Swampert,141,74,56,43,56,31,28,29,60,20,15,15,3,2,2,1175,409,719,895,agua,100,terrestre,100,,,,,sapo,-,FF,,383,132
Poochyena,38,27,20,17,17,21,16,18,19,16,15,10,3,1,1,557,136,248,348,sombrio,100,,,,,,,cachorro,3,1,,384,133
Mightyena,70,39,29,22,22,28,20,23,32,20,30,10,3,1,2,790,212,386,520,sombrio,100,,,,,,,cachorro,7,2,,385,133
Zigzagoon,44,20,25,20,25,29,18,19,20,12,10,5,2,1,1,549,158,282,396,sombrio,100,normal,100,,,,,cachorro,2,1,,386,134
Linoone,68,35,31,23,31,39,20,24,28,15,10,15,2,1,2,745,216,396,530,sombrio,100,normal,100,,,,,cachorro,6,2,,387,134
Obstagoon,91,44,50,28,39,42,22,29,38,24,11,30,2,1,3,994,279,517,691,sombrio,100,normal,100,sonoro,50,,,cachorro,8,3,,388,134
Wurmple,40,20,18,14,16,13,19,22,18,10,5,10,4,1,1,485,124,234,320,inseto,100,,,,,,,minhoca,1,1,,389,135
Silcoon,45,20,29,14,20,13,19,22,18,10,5,15,4,1,1,535,147,265,359,inseto,100,,,,,,,casulo,4,2,,390,135
Beautifly,63,32,29,45,29,31,62,22,42,14,5,15,4,1,2,863,298,487,647,inseto,100,voador,100,fada,10,,,borboleta,8,3,,391,135
Cascoon,45,20,29,14,20,13,19,22,18,10,5,15,4,1,1,535,147,265,359,inseto,100,,,,,,,casulo,4,2,,392,135
Dustox,69,27,37,27,58,33,30,27,40,19,10,15,4,1,2,878,270,465,627,inseto,100,venenoso,100,voador,50,,,borboleta,8,3,,393,135
Lotad,50,18,18,24,27,19,24,14,26,10,5,5,5,1,1,550,156,290,390,planta,100,agua,100,,,,,planta,2,1,,394,136
Lombre,64,23,23,30,38,23,31,15,35,10,5,5,5,1,1,660,210,378,500,planta,100,agua,100,,,,,planta,5,2,,395,136
Ludicolo,82,30,30,42,58,29,46,16,46,12,5,5,5,2,2,884,300,526,676,planta,100,agua,100,,,,,planta,7,3,,396,136
Seedot,30,18,29,16,18,19,19,19,22,14,8,8,3,1,1,524,140,252,350,planta,100,sombrio,10,,,,,arvore,2,1,,397,137
Nuzleaf,57,31,25,29,25,30,22,23,24,20,10,10,3,1,1,685,180,337,475,planta,100,sombrio,80,,,,,arvore,5,2,,398,137
Shiftry,79,52,29,42,29,36,31,28,30,26,20,20,3,1,2,947,267,461,633,planta,100,sombro,100,,,,,arvore,8,3,,399,137
Taillow,46,27,18,18,18,38,18,22,25,18,15,10,4,1,1,641,180,306,414,voador,100,,,,,,,passaro,2,1,,400,138
Swellow,68,38,25,30,23,62,22,24,33,19,25,15,4,1,2,878,268,444,588,voador,100,,,,,,,passaro,6,2,,401,138
Wingull,49,16,18,19,16,36,23,31,20,14,10,15,3,1,1,608,183,307,407,voador,100,agua,100,,,,,passaro,3,1,,402,139
Pelipper,85,19,47,37,29,30,24,31,40,18,10,15,3,1,2,836,259,455,599,voador,100,agua,100,,,,,passaro,7,2,,403,139
Ralts,27,14,14,26,20,22,25,18,24,16,10,15,3,1,1,562,150,270,360,psiquico,100,fada,100,,,,,humanoide,3,1,,404,140
Kirlia,44,21,21,38,32,29,40,24,35,18,10,15,3,1,1,741,226,396,524,psiquico,100,fada,100,,,,,humanoide,6,2,,405,140
Gardevoir,72,32,32,68,56,38,48,29,46,20,15,15,3,2,2,1050,344,584,770,psiquico,100,fada,100,,,,,humanoide,9,3,,406,140
Mega Gardevoir,72,40,32,81,70,40,62,29,46,20,15,15,3,2,2,1152,426,678,872,psiquico,100,fada,100,,,,,humanoide,-,FF,,407,140
Gallade,72,68,32,32,56,38,40,37,46,20,15,15,3,2,2,1050,340,570,770,psiquico,100,lutador,100,,,,,humanoide,9,3,,408,140
Mega Gallade,72,81,32,40,70,40,40,42,46,20,15,24,3,2,2,1161,394,638,854,psiquico,100,lutador,100,,,,,humanoide,-,FF,,409,140
Surskit,38,15,16,20,21,24,24,24,15,12,5,10,4,1,1,529,144,264,356,inseto,100,agua,100,,,,,insetoide,2,1,,410,141
Masquerain,68,26,27,37,33,32,53,28,25,15,5,10,4,1,2,795,248,434,590,inseto,100,voador,100,agua,10,,,borboleta,6,2,,411,141
Shroomish,59,20,27,20,27,18,22,17,28,9,5,10,5,1,1,588,169,307,417,planta,100,,,,,,,cogumelo,2,1,,412,142
Breloom,65,64,33,20,30,25,22,18,32,16,10,15,4,1,2,792,259,433,553,planta,100,lutador,100,,,,,canguru,7,2,,413,142
Slakoth,43,22,22,17,17,16,19,23,26,14,5,10,3,1,1,538,142,267,367,normal,100,,,,,,,macaco,3,1,,414,143
Vigoroth,77,37,37,24,24,38,22,30,36,16,5,10,3,1,1,752,227,433,573,normal,100,,,,,,,macaco,6,2,,415,143
Slaking,142,62,52,40,32,40,27,34,70,22,10,15,3,1,3,1129,406,670,856,normal,100,,,,,,,macaco,10,3,,416,143
Nincada,33,23,30,16,16,21,18,22,18,12,15,10,4,1,0,544,150,264,361,inseto,100,terrestre,100,,,,,aranha,2,1,,417,144
Ninjask,59,45,30,22,22,92,22,30,25,20,25,15,3,1,2,925,334,503,641,inseto,100,voador,100,,,,,abelha,7,2,,418,144
Shedinja,5,51,35,16,16,21,18,26,20,12,15,10,5,2,2,664,224,342,436,inseto,100,fantasma,100,,,,,casulo,7,2,,419,144
Whismur,49,23,13,23,13,16,18,16,22,14,10,15,5,1,1,558,141,253,343,sonoro,100,,,,,,,coelho,3,1,,420,145
Loudred,79,35,22,35,22,24,21,19,32,18,10,15,5,1,1,736,219,375,499,sonoro,100,,,,,,,coelho,6,2,,421,145
Exploud,103,50,32,50,34,29,29,25,41,21,15,15,5,1,2,967,303,517,683,sonoro,100,,,,,,,criatura,9,3,,422,145
Makuhita,68,34,20,15,20,17,14,16,22,13,5,15,5,1,1,586,180,294,386,lutador,100,,,,,,,porco,4,1,,423,146
Hariyama,146,71,31,20,31,22,19,22,40,16,5,20,4,1,2,897,368,536,660,lutador,100,,,,,,,humanoide,7,2,,424,146
Nosepass,36,21,42,21,33,16,18,15,20,12,5,10,3,1,1,571,192,310,408,pedra,100,,,,,,,rocha,4,1,,425,147
Probopass,64,30,73,35,76,19,22,18,42,13,5,10,3,1,2,881,382,576,694,pedra,100,metal,80,,,,,rocha,8,2,,426,147
Skitty,48,24,24,19,19,26,25,22,22,15,15,10,2,1,1,605,150,290,410,normal,100,,,,,,,gato,2,1,,427,148
Delcatty,76,32,32,27,27,38,36,30,32,18,15,10,2,2,2,831,224,416,584,normal,100,sonoro,10,,,,,gato,6,2,,428,148
Sableye,51,36,36,31,31,27,28,32,30,16,15,5,4,2,2,797,208,392,553,sombrio,100,fantasma,100,,,,,criatura,5,1,,429,149
Mega Sableye,51,36,61,31,56,27,28,32,30,16,15,5,4,2,2,897,306,492,653,sombrio,100,fantasma,100,,,,,criatura,-,FF,,430,149
Mawile,50,42,42,26,26,25,39,30,30,15,25,15,2,2,2,850,246,418,570,fada,100,metal,80,sombrio,10,,,humanoide,5,1,,431,150
Mega Mawile,50,52,61,26,40,25,39,30,30,15,32,15,2,2,2,957,306,508,670,fada,100,metal,80,sombrio,10,,,humanoide,-,FF,,432,150
Aron,46,28,32,19,19,16,15,16,20,12,10,15,3,1,1,569,166,282,376,metal,100,pedra,80,,,,,dinossauro,3,1,,433,151
Lairon,63,36,49,23,23,18,17,20,36,14,10,15,3,1,2,728,242,397,507,metal,100,pedra,80,,,,,rinoceronte,6,2,,434,151
Aggron,101,64,82,32,32,25,23,36,48,18,12,20,3,1,2,1043,393,625,785,metal,100,pedra,80,,,,,rinoceronte,10,3,,435,151
Mega Aggron,101,76,96,33,42,25,23,42,50,18,12,20,3,1,2,1133,445,713,875,metal,100,pedra,10,,,,,rinoceronte,-,FF,,436,151
Meditite,34,20,24,20,24,26,17,17,21,14,5,20,3,1,0,553,148,270,378,lutador,100,psiquico,100,,,,,humanoide,2,1,,437,152
Medicham,71,35,38,35,38,36,24,25,30,18,8,25,4,2,2,884,224,435,595,lutador,100,psiquico,100,,,,,humanoide,7,2,,438,152
Mega Medicham,73,44,44,44,44,44,28,28,30,20,10,25,4,2,2,990,264,513,685,lutador,100,psiquico,100,,,,,humanoide,-,FF,,439,152
Electrike,40,21,20,26,20,26,18,19,20,20,10,15,3,1,1,605,146,266,384,eletrico,100,,,,,,,cachorro,3,1,,440,153
Manectric,70,30,28,38,28,38,19,21,39,32,12,15,3,1,2,851,230,424,578,eletrico,100,,,,,,,cachorro,7,2,,441,153
Mega Manectric,70,35,30,47,30,47,19,21,52,43,16,15,3,1,2,987,292,518,680,eletrico,100,,,,,,,cachorro,-,FF,,442,153
Plusle,48,21,25,40,35,43,29,24,27,27,15,5,5,1,1,794,236,402,548,eletrico,100,,,,,,,rato,4,1,,443,154
Minun,48,21,25,35,40,43,29,24,27,27,5,15,5,1,1,794,236,402,548,eletrico,100,,,,,,,rato,4,1,,444,155
Volbeat,52,30,30,22,36,36,40,15,30,15,5,10,5,1,2,745,224,404,530,inseto,100,cosmico,50,,,,,insetoide,3,1,,445,156
Illumise,52,30,30,36,22,36,40,15,30,15,5,10,5,1,2,745,224,404,530,inseto,100,cosmico,50,,,,,insetoide,6,1,,446,157
Budew,35,13,15,20,25,19,26,9,18,10,5,5,2,1,0,435,142,251,327,planta,100,venenoso,100,,,,,planta,2,1,,447,158
Roselia,48,25,20,38,34,26,50,18,32,16,5,12,3,1,1,719,244,410,534,planta,100,venenoso,100,,,,,flor,5,2,,448,158
Roserade,59,32,30,53,46,38,65,20,35,24,10,15,4,1,2,968,328,538,705,planta,100,venenoso,100,,,,,flor,7,3,,449,158
Gulpin,67,23,27,23,27,22,27,10,28,12,5,10,3,1,1,604,177,331,445,venenoso,100,,,,,,,gosma,2,1,,450,159
Swalot,107,34,37,34,37,28,36,12,38,15,6,12,3,1,2,823,257,471,625,venenoso,100,,,,,,,gosma,6,2,,451,159
Carvanha,43,35,15,28,15,29,16,18,20,15,15,10,4,1,1,610,184,303,395,sombrio,100,agua,100,,,,,peixe,3,1,,452,160
Sharpedo,77,65,20,40,20,42,18,26,35,18,20,15,4,1,2,886,294,493,613,sombrio,100,agua,100,,,,,tubarão,8,2,,453,160
Mega Sharpedo,77,78,32,46,32,45,18,30,35,18,25,15,4,1,2,1001,338,549,723,sombrio,100,agua,100,,,,,tubarão,-,FF,,454,160
Wailmer,125,32,18,32,18,28,20,21,32,10,3,6,3,1,1,664,253,415,527,agua,100,,,,,,,baleia,4,1,,455,161
Wailord,174,44,23,44,23,30,26,24,59,15,5,10,3,1,2,915,380,580,720,agua,100,,,,,,,beleia,9,2,,456,161
Numel,54,27,19,28,21,18,17,17,24,12,10,15,4,1,1,599,164,292,396,fogo,100,terrestre,100,,,,,camelo,3,1,,457,162
Camerupt,82,49,30,50,33,22,23,23,39,15,10,15,4,1,2,855,280,484,620,fogo,100,terrestre,100,,,,,camelo,8,2,,458,162
Mega Camerupt,82,58,41,66,43,22,23,23,42,16,10,15,4,1,2,957,334,582,718,fogo,100,terrestre,100,,,,,camelo,-,FF,,459,162
Torkoal,73,40,62,40,34,16,20,19,35,10,10,15,3,1,3,830,284,495,605,fogo,100,,,,,,,tartaruga,5,1,,460,163
Spoink,38,8,13,26,29,20,21,18,18,18,10,15,3,1,1,561,152,266,368,psiquico,100,,,,,,,porco,1,1,,461,164
Grumpig,74,16,21,35,45,29,29,24,36,18,10,15,3,1,2,781,236,422,548,psiquico,100,,,,,,,porco,5,2,,462,164
Spinda,40,20,20,20,20,20,25,25,25,15,15,25,5,1,1,660,150,280,400,normal,100,,,,,,,rato,3,1,,463,165
Trapinch,43,42,21,21,21,12,14,22,20,13,20,5,4,1,1,596,171,297,405,terrestre,100,,,,,,,desconhecido,3,1,,464,166
Vibrava,50,42,25,25,25,32,18,22,26,15,20,5,4,1,2,715,200,350,484,terrestre,100,dragao,80,voador,50,,,insetoide,5,2,,465,166
Flygon,77,42,33,33,33,42,26,22,34,18,21,10,4,2,2,892,245,445,607,terrestre,100,dragao,100,voador,80,,,pré-histórico,8,3,,466,166
Cacnea,41,30,20,30,20,15,12,30,25,10,15,10,2,1,1,580,180,311,411,planta,100,terrestre,50,,,,,cacto,3,1,,467,167
Cacturne,73,41,30,41,30,25,20,40,35,12,32,10,2,1,2,851,244,451,621,planta,100,sombrio,100,terrestre,50,,,cacto,7,2,,468,167
Swablu,42,19,25,20,32,22,26,15,20,15,5,10,4,1,1,585,166,292,400,voador,100,normal,100,,,,,passaro,3,1,,469,168
Altaria,77,34,39,34,58,33,40,15,38,18,5,10,4,2,3,916,274,495,665,voador,100,dragao,100,,,,,passaro,8,2,,470,168
Mega Altaria,77,57,57,57,57,33,40,15,38,18,5,12,3,2,3,1038,342,613,791,dragao,100,fada,100,voador,50,,,passaro,-,FF,,471,168
Zangoose,73,38,33,33,33,39,22,38,30,23,22,10,1,1,2,863,230,435,607,normal,100,,,,,,,gato,5,1,,472,169
Seviper,75,45,30,30,45,32,25,20,32,16,23,12,2,1,2,842,255,443,599,venenoso,100,,,,,,,cobra,5,1,,473,170
Lunatone,70,29,34,50,41,36,41,19,30,10,5,20,4,1,2,845,264,474,632,pedra,100,psiquico,100,cosmico,100,,,rocha,5,1,,474,171
Solrock,70,50,41,29,34,36,41,19,30,10,5,20,4,1,2,845,264,474,632,pedra,100,psiquico,100,cosmico,100,,,rocha,5,1,,475,172
Barboach,38,18,16,17,15,23,18,15,16,12,8,8,5,1,1,500,120,222,314,agua,100,terrestre,50,,,,,peixe,2,1,,476,173
Whiscash,117,39,37,38,36,30,25,18,41,15,10,10,5,1,2,875,277,499,645,agua,100,terrestre,50,,,,,peixe,7,2,,477,173
Corphish,40,32,27,24,15,15,14,16,20,10,15,12,2,1,1,547,166,278,368,agua,100,,,,,,,caranguejo,3,1,,478,174
Crawdaunt,79,56,34,37,21,20,18,20,40,12,25,30,2,1,2,864,271,473,605,agua,100,sombrio,80,,,,,caranguejo,8,2,,479,174
Baltoy,40,20,25,20,29,25,26,16,21,18,5,5,3,1,1,576,160,292,408,terrestre,100,psiquico,100,cosmico,10,,,objeto,3,1,,480,175
Claydol,57,28,42,28,48,29,48,20,48,18,5,5,3,1,2,831,288,487,639,terrestre,100,psiquico,100,cosmico,10,,,objeto,7,2,,481,175
Lileep,47,19,33,31,40,11,30,18,30,12,5,10,1,1,1,614,208,375,473,planta,100,pedra,100,,,,,desconhecido,2,1,,482,176
Cradily,81,37,40,37,46,17,37,21,36,16,10,15,1,1,2,832,253,475,623,planta,100,pedra,100,,,,,desconhecido,7,2,,483,176
Anorith,38,33,21,18,21,26,18,22,21,9,10,12,2,1,1,560,162,288,398,pedra,100,inseto,100,,,,,pré-histórico,3,1,,484,177
Armaldo,79,59,43,28,32,26,25,28,38,12,12,15,2,1,2,846,283,479,637,pedra,100,inseto,100,,,,,pré-histórico,8,2,,485,177
Feebas,35,9,15,11,26,33,26,12,16,12,5,10,3,1,1,494,170,267,337,agua,100,,,,,,,peixe,2,1,,486,178
Milotic,91,23,39,46,63,34,63,24,40,15,5,15,3,1,2,965,344,593,755,agua,100,dragao,10,,,,,cobra,9,2,,487,178
Milotic Radiante,91,27,43,50,67,38,67,28,44,17,8,18,4,1,2,1065,368,633,819,agua,100,dragao,10,,,,,cobra,-,FF,,488,178
Castform,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,795,168,336,503,normal,100,,,,,,,desconhecido,5,1,,489,179
Castform Sunny,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,795,168,336,503,fogo,100,,,,,,,desconhecido,-,F,,490,179
Castform Rainy,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,795,168,336,503,agua,100,,,,,,,desconhecido,-,F,,491,179
Castform Snowy,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,795,168,336,503,gelo,100,,,,,,,desconhecido,-,F,,492,179
Kecleon,53,33,29,25,44,22,29,25,29,18,5,12,3,2,2,758,212,381,525,normal,100,,,,,,,camaleão,4,1,,493,180
Shuppet,35,34,17,30,16,24,28,21,20,15,10,10,4,1,1,615,184,314,415,fantasma,100,,,,,,,espirito,2,1,,494,181
Banette,58,49,24,39,23,25,29,27,32,18,25,10,3,1,2,821,240,410,558,fantasma,100,,,,,,,espirito,7,2,,495,181
Mega Banette,58,84,30,39,29,28,29,32,32,18,25,10,3,1,2,931,310,492,664,fantasma,100,,,,,,,espirito,-,FF,,496,181
Duskull,29,20,32,16,32,14,30,16,18,12,5,8,4,1,1,552,188,296,385,fantasma,100,,,,,,,espirito,2,1,,497,182
Dusclops,44,35,51,30,51,18,38,20,34,14,10,12,4,1,2,820,280,478,598,fantasma,100,,,,,,,espirito,7,2,,498,182
Dusknoir,55,46,59,35,59,25,47,22,36,15,10,16,4,1,3,971,330,564,713,fantasma,100,psiquico,10,,,,,espirito,9,3,,499,182
Tropius,95,36,43,38,45,28,25,26,45,21,8,15,5,1,2,930,275,509,667,planta,100,voador,100,,,,,pré-histórico,6,1,,500,183
Chimecho,31,12,17,23,17,16,21,15,16,12,5,5,3,1,0,433,122,220,305,psiquico,100,,,,,,,desconhecido,-,0,,501,184
Chingling,65,19,32,39,36,30,33,22,30,24,15,10,3,1,1,788,216,405,557,psiquico,100,,,,,,,desconhecido,5,1,,502,184
Absol,69,54,30,35,30,36,32,36,30,20,25,10,4,1,2,920,252,455,635,sombrio,100,,,,,,,cabra,8,1,,503,185
Mega Absol,69,63,30,47,30,46,32,46,34,20,25,15,4,1,2,1025,312,541,725,sombrio,100,cosmico,50,,,,,cabra,-,FF,,504,185
Snorunt,40,20,20,20,20,20,20,20,20,10,15,15,4,1,1,570,120,240,360,gelo,100,,,,,,,espirito,3,1,,505,186
Glalie,76,38,38,38,38,38,38,38,40,20,23,23,4,1,2,1006,232,460,688,gelo,100,,,,,,,criatura,8,2,,506,186
Mega Glalie,76,50,38,50,38,42,38,38,52,20,23,23,4,1,2,1086,304,540,768,gelo,100,,,,,,,criatura,-,FF,,507,186
Froslass,70,38,34,38,34,45,50,34,34,16,21,21,5,1,2,984,266,480,684,gelo,100,fantasma,80,,,,,espirito,8,2,,508,186
Spheal,51,19,23,24,23,16,23,18,24,12,5,15,3,1,1,569,147,285,391,gelo,100,agua,100,,,,,foca,3,1,,509,187
Sealeo,83,24,30,33,30,20,30,25,34,15,5,15,3,1,2,745,217,397,535,gelo,100,agua,100,,,,,foca,6,2,,510,187
Walrein,123,34,42,48,42,28,40,33,51,18,10,15,3,1,3,1016,321,569,759,gelo,100,agua,100,,,,,foca,9,3,,511,187
Clamperl,33,25,30,27,22,15,32,15,17,10,5,8,2,1,1,538,178,306,399,agua,100,,,,,,,concha,2,1,,512,188
Huntail,65,35,36,28,29,25,34,25,30,18,10,15,2,2,2,796,210,393,549,agua,100,,,,,,,cobra,7,2,,513,188
Gorebyss,65,25,36,38,29,25,34,25,30,18,10,15,2,2,2,796,216,399,549,agua,100,,,,,,,cobra,7,2,,514,188
Relicanth,91,39,50,23,31,26,25,26,34,13,5,10,4,1,2,796,269,451,599,pedra,100,agua,100,,,,,peixe,5,1,,515,189
Luvdisc,43,12,22,16,26,44,40,30,28,16,4,8,3,1,1,649,228,380,487,agua,100,,,,,,,criatura,4,1,,516,190
Bagon,44,28,26,22,20,24,22,20,20,12,5,10,3,1,1,571,156,288,408,dragao,100,,,,,,,dinossauro,4,1,,517,191
Shelgon,67,33,36,27,25,25,26,24,32,16,10,15,3,1,2,752,205,375,523,dragao,100,,,,,,,casulo,7,2,,518,191
Salamence,108,76,37,54,37,45,32,28,46,21,15,20,3,1,2,1097,368,624,818,dragao,100,voador,100,,,,,dinossauro,10,3,,519,191
Mega Salamence,110,83,59,57,37,57,34,30,46,22,15,20,3,1,2,1199,398,714,916,dragao,100,voador,100,,,,,dinossauro,-,FF,,520,191
Beldum,42,25,32,17,26,16,18,23,23,15,5,10,3,1,1,577,166,300,402,metal,100,psiquico,100,,,,,desconhecido,4,1,,521,192
Metang,63,34,44,24,35,23,24,31,30,16,10,10,3,1,1,747,226,411,553,metal,100,psiquico,100,,,,,caranguejo,7,2,,522,192
Metagross,98,68,65,46,42,34,33,40,44,20,12,12,3,1,2,1084,364,628,842,metal,100,psiquico,100,,,,,caranguejo,10,3,,523,192
Mega Metagross,98,75,80,49,51,50,33,40,44,20,12,12,3,1,2,1184,412,708,942,metal,100,psiquico,100,,,,,caranguejo,-,FF,,524,192
Regirock,92,46,92,30,46,21,31,27,48,10,12,16,5,1,3,1028,372,618,774,pedra,100,normal,10,,,,,golem,-,1,,525,193
Regice,92,30,46,46,92,21,31,27,48,10,12,16,5,1,3,1028,372,618,774,gelo,100,normal,10,,,,,golem,-,1,,526,194
Registeel,92,38,69,38,69,21,31,27,48,10,12,16,5,1,3,1028,372,616,774,metal,100,normal,10,,,,,golem,-,1,,527,195
Latias,85,39,45,52,60,52,42,44,36,20,10,15,3,1,2,1070,328,591,825,dragao,100,cosmico,80,psiquico,50,,,anjo,-,1,,528,196
Mega Latias,88,40,46,61,71,62,42,51,38,20,15,15,3,1,2,1170,388,670,910,dragao,100,cosmico,100,psiquico,50,,,anjo,-,FF,,529,196
Latios,85,45,39,60,52,52,42,44,36,20,10,15,3,1,2,1070,328,591,825,dragao,100,cosmico,80,psiquico,50,,,anjo,-,1,,530,197
Mega Latios,88,46,40,71,61,62,42,51,38,20,15,15,3,1,2,1170,388,670,910,dragao,100,cosmico,100,psiquico,50,,,anjo,-,FF,,531,197
Kyogre,115,54,42,72,65,40,34,38,62,18,15,20,4,1,2,1206,398,705,929,agua,100,,,,,,,baleia,-,1,,532,198
Kyogre Primal,120,67,42,95,78,40,34,38,73,18,15,20,4,1,2,1331,492,830,1054,agua,100,,,,,,,baleia,-,FF,,533,198
Groudon,115,72,65,54,42,40,34,38,62,18,15,20,4,1,2,1206,398,705,929,terrestre,100,,,,,,,dinossauro,-,1,,534,199
Groundon Primal,120,95,78,67,42,40,34,38,73,18,15,20,4,1,2,1331,492,830,1054,terrestre,100,fogo,100,,,,,dinossauro,-,FF,,535,199
Rayquaza,100,75,45,75,45,55,30,45,50,25,20,15,4,1,2,1245,410,700,940,dragao,100,voador,100,cosmico,80,,,cobra,-,1,,536,200
Mega Rayquaza,100,92,50,92,50,62,35,45,54,25,20,15,4,1,2,1365,492,800,1060,dragao,100,voador,100,cosmico,100,,,cobra,-,FF,,537,200
Jirachi,72,38,38,38,38,38,38,38,38,20,23,72,2,2,2,1145,296,524,752,metal,100,psiquico,100,,,,,anjo,-,1,,538,201
Jirachi Radiante,72,42,42,42,42,42,42,42,42,22,26,75,3,2,2,1245,318,570,822,metal,100,psiquico,100,,,,,anjo,-,FF,,539,201
Deoxys,70,50,45,50,45,50,35,40,35,20,15,15,5,1,2,1050,300,560,770,cosmico,100,,,,,,,polvo,-,1,,540,202
Deoxys Attack,70,85,15,85,15,50,10,50,35,20,20,10,5,1,2,1040,440,680,790,cosmico,100,,,,,,,polvo,-,F,,541,202
Deoxys Defense,70,20,80,20,80,30,50,25,40,20,10,20,5,1,2,1040,420,630,760,cosmico,100,,,,,,,polvo,-,F,,542,202
Deoxys Speed,70,45,40,45,40,85,25,25,30,30,15,15,5,1,2,1060,350,580,750,cosmico,100,,,,,,,povlo,-,F,,543,202
Turtwig,50,26,26,18,23,16,15,16,25,10,10,15,3,1,1,565,154,286,380,planta,100,,,,,,,tartaruga,3,1,,544,203
Grotle,72,40,39,24,28,19,22,22,37,13,10,15,3,1,2,751,232,408,534,planta,100,terrestre,50,,,,,tartaruga,6,2,,545,203
Torterra,107,56,55,31,40,24,29,30,61,16,12,15,3,1,3,1014,344,593,759,planta,100,terrestre,100,,,,,tartaruga,9,3,,546,203
